"task_id","summary","week","module","priority","status","depends_on","deliverable","acceptance_criteria","milestone"
"W1-M01-01","初始化 Tauri 工程结构（前端壳+Rust Core）","Week1","M01","P0","TODO","","可运行工程骨架","macOS/Windows 均可本地启动主界面","Week1 里程碑"
"W1-M01-02","建立目录规范与模块边界（capture/edit/export/project/settings）","Week1","M01","P0","TODO","W1-M01-01","目录与模块说明文档","模块间接口清晰且避免循环依赖","Week1 里程碑"
"W1-M01-03","接入统一日志与错误码基础设施","Week1","M01","P0","TODO","W1-M01-01","日志模块与错误码枚举","支持 info/warn/error 且错误可追踪","Week1 里程碑"
"W1-M03-01","权限流程预研（屏幕录制/麦克风/系统音频）","Week1","M03","P0","TODO","W1-M01-01","平台权限能力表","明确 Windows/macOS 差异及降级路径","Week1 里程碑"
"W1-M02-01","采集技术 Spike（全屏/窗口采样可行性）","Week1","M02","P0","TODO","W1-M01-01","Spike 报告与 Demo","双平台可获取稳定视频帧","Week1 里程碑"
"W1-M02-02","音频采集 Spike（麦克风+系统音频路径验证）","Week1","M02","P0","TODO","W1-M03-01","Spike 报告","Windows 系统音频路径可行且 macOS 降级策略明确","Week1 里程碑"
"W1-M06-01","编码技术 Spike（H.264+Aac+MP4 封装验证）","Week1","M06","P0","TODO","W1-M01-01","Spike 报告与最小导出样片","可输出可播放 MP4 文件","Week1 里程碑"
"W1-M07-01","定义 project.json v1 草案（含 schemaVersion）","Week1","M07","P0","TODO","W1-M01-02","JSON Schema 草案","字段覆盖录制/编辑/镜头/导出基础配置","Week1 里程碑"
"W1-M08-01","搭建测试基建（单测+集成测试入口）","Week1","M08","P0","TODO","W1-M01-01","测试脚手架","本地可执行基础测试命令","Week1 里程碑"
"W2-M02-01","实现全屏录制能力（30fps 基线）","Week2","M02","P0","DONE","W1-M02-01","录制核心代码","5 分钟录制无崩溃且视频可播放","Week2 里程碑"
"W2-M02-02","实现窗口录制能力","Week2","M02","P0","DONE","W2-M02-01","窗口采集逻辑","指定窗口录制结果可用","Week2 里程碑"
"W2-M02-03","实现麦克风输入选择与采集","Week2","M02","P0","DONE","W1-M02-02","设备枚举与采集逻辑","用户可选择麦克风并成功录制","Week2 里程碑"
"W2-M03-02","接入 Windows 系统音频采集","Week2","M03","P0","DONE","W1-M02-02","Windows 音频采集实现","Windows 场景系统音频可录制","Week2 里程碑"
"W2-M03-03","实现 macOS 系统音频降级提示与继续流程","Week2","M03","P0","DONE","W1-M03-01","UI 提示与流程控制","不支持时提示准确且可继续录制","Week2 里程碑"
"W2-M02-04","实现录制控制（开始/暂停/继续/停止）","Week2","M02","P0","DONE","W2-M02-01","录制状态机实现","状态切换正确且无非法状态跳转","Week2 里程碑"
"W2-M02-05","实现全局快捷键（可配置）","Week2","M02","P0","DONE","W2-M02-04","快捷键配置模块","快捷键可触发且可持久化","Week2 里程碑"
